zip,population,area
75217,8.0324,26
75243,5.5406,9
75216,4.9416,13
75228,6.6551,12
75220,4.1891,13
75211,7.3146,17
75227,5.5029,12
75231,3.7052,5
75204,2.6279,3
75215,1.4648,9
75241,2.7066,28
75237,1.7101,7
75206,3.6248,4
75229,3.1571,12
75224,3.4034,6
75240,2.4296,4
75287,4.9004,6
75208,3.0171,6
75238,3.0483,7
75212,2.4884,12
75201,0.9409,1
75232,2.8682,8
75219,2.2124,2
75235,1.7177,7
75203,1.5721,4
75214,3.295,8
75218,2.1665,8
75247,0.0468,6
75210,0.7482,5
75202,0.1666,1
75254,2.3253,3
75223,1.3947,3
75253,1.845,17
75207,0.9648,5
75248,3.3395,8
75236,1.5949,12
75226,0.3506,1
75233,1.4043,4
75230,2.6934,7
75225,2.0892,5
75209,1.3653,4
75252,2.4112,5
75249,1.3373,6
75251,0.2331,1
75244,1.3266,5
75234,2.8794,11
75205,2.3061,4
75246,0.277,0
75051,3.9285,15
75019,3.8666,18
75116,1.9669,5
75134,2.0276,12
75088,2.4712,13
75042,3.7881,8
75149,5.6065,17
75089,3.0251,13
75150,5.873,12
75040,5.9406,16
75043,5.8094,19
75159,1.8339,65
75080,4.4009,10
75062,4.4537,11
75052,8.8996,27
75006,4.6364,17
75001,1.2414,4
75181,2.5908,18
75115,4.8877,22
75180,2.3031,8
75081,3.4156,9
75074,4.4622,16
75007,5.1624,12
75060,4.598,12
75126,3.3396,82
75041,3.07,8
75032,2.7986,65
75154,3.6041,46
75048,2.0328,8
75141,0.5374,11
75137,1.8861,6
75082,2.1182,8
75050,4.1041,26
75061,5.3442,12
75087,2.8145,42
76018,2.6938,8